ダウンロードした時刻：2024/01/19 16:07:01

,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
2023/12/1,8.7,8,1
2023/12/2,8.3,8,1
2023/12/3,9.1,8,1
2023/12/4,8.7,8,1
2023/12/5,8.1,8,1
2023/12/6,11.4,8,1
2023/12/7,12.9,8,1
2023/12/8,12.3,8,1
2023/12/9,11.9,8,1
2023/12/10,13.0,8,1
2023/12/11,13.4,8,1
2023/12/12,11.9,8,1
2023/12/13,10.8,8,1
2023/12/14,10.2,8,1
2023/12/15,11.0,8,1
2023/12/16,17.0,8,1
2023/12/17,11.2,8,1
2023/12/18,7.0,8,1
2023/12/19,7.0,8,1
2023/12/20,8.5,8,1
2023/12/21,7.7,8,1
2023/12/22,5.3,8,1
2023/12/23,5.0,8,1
2023/12/24,4.9,8,1
2023/12/25,6.3,8,1
2023/12/26,7.6,8,1
2023/12/27,8.4,8,1
2023/12/28,7.0,8,1
2023/12/29,7.8,8,1
2023/12/30,9.0,8,1
2023/12/31,9.2,8,1
